Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 7.0,D3_HP_PriceShock,Indonesia,energy-investment,M$(2010)/yr,43839,34867,70752,110401,149792,124997,151420,137679,130312,128441,140545
GCAM 7.0,D3_HP_PriceShock,Indonesia,energy-service,M$(2010)/yr,187354,249286,390585,508791,551357,626649,696251,727846,758713,780411,789005
GCAM 7.0,D3_HP_PriceShock,Japan,energy-investment,M$(2010)/yr,28904,13979,134764,224022,236148,267511,244760,257559,259161,261617,248618
GCAM 7.0,D3_HP_PriceShock,Japan,energy-service,M$(2010)/yr,1198622,1229127,1150074,1145301,1139007,1101021,1153664,1106205,1061275,1024777,1013814
GCAM 7.0,D3_HP_PriceShock,Mexico,energy-investment,M$(2010)/yr,4716,5871,42812,77406,90189,94480,103281,105794,109968,114992,116264
GCAM 7.0,D3_HP_PriceShock,Mexico,energy-service,M$(2010)/yr,326126,417148,447495,535133,621831,722298,820675,879163,918732,950566,964437
GCAM 7.0,D3_HP_PriceShock,Middle East,energy-investment,M$(2010)/yr,126528,229395,363758,310391,376543,358110,409122,379215,416299,448858,452538
GCAM 7.0,D3_HP_PriceShock,Middle East,energy-service,M$(2010)/yr,862692,1295242,1668358,2021468,2311197,2566540,2898035,3084440,3210809,3341219,3459739
GCAM 7.0,D3_HP_PriceShock,Pakistan,energy-investment,M$(2010)/yr,2026,1669,27824,50239,65336,87876,103316,110696,124771,133120,141379
GCAM 7.0,D3_HP_PriceShock,Pakistan,energy-service,M$(2010)/yr,78363,115034,157149,225129,317118,443318,590338,726539,852889,978114,1103431
GCAM 7.0,D3_HP_PriceShock,Russia,energy-investment,M$(2010)/yr,37830,31533,160925,164647,252307,205914,227005,209204,238388,246936,265822
GCAM 7.0,D3_HP_PriceShock,Russia,energy-service,M$(2010)/yr,740243,916553,1002862,1064707,1019338,1117990,1222650,1289976,1370863,1447858,1508140
GCAM 7.0,D3_HP_PriceShock,South Africa,energy-investment,M$(2010)/yr,3646,2449,35401,57245,82699,84981,82840,80193,91822,96806,93699
GCAM 7.0,D3_HP_PriceShock,South Africa,energy-service,M$(2010)/yr,144467,164500,187075,214134,257866,305962,344700,364892,379160,394745,407712
GCAM 7.0,D3_HP_PriceShock,South America_Northern,energy-investment,M$(2010)/yr,21617,25101,36824,50274,55842,50484,45126,51508,52124,44934,42241
GCAM 7.0,D3_HP_PriceShock,South America_Northern,energy-service,M$(2010)/yr,155566,185975,152726,209836,309994,361406,371366,341467,348133,345565,340655
GCAM 7.0,D3_HP_PriceShock,South America_Southern,energy-investment,M$(2010)/yr,8054,10717,27023,42960,61443,55993,62989,61632,74114,82585,76052
GCAM 7.0,D3_HP_PriceShock,South America_Southern,energy-service,M$(2010)/yr,127922,207140,263459,319262,363703,411962,491815,551484,594381,632721,663473
GCAM 7.0,D3_HP_PriceShock,South Asia,energy-investment,M$(2010)/yr,1716,3473,23820,36148,40896,48956,55956,58079,66308,68841,72934
GCAM 7.0,D3_HP_PriceShock,South Asia,energy-service,M$(2010)/yr,40203,69991,117425,162979,214540,279182,346398,392600,431389,467119,499497
GCAM 7.0,D3_HP_PriceShock,South Korea,energy-investment,M$(2010)/yr,12800,11389,196334,284072,305502,302639,301271,291003,290241,278656,262980
GCAM 7.0,D3_HP_PriceShock,South Korea,energy-service,M$(2010)/yr,607229,694910,814950,862964,906688,892577,915310,880332,836685,789157,750805
GCAM 7.0,D3_HP_PriceShock,Southeast Asia,energy-investment,M$(2010)/yr,24502,30789,142849,226863,256235,250804,282015,276936,287806,303392,308977
GCAM 7.0,D3_HP_PriceShock,Southeast Asia,energy-service,M$(2010)/yr,424741,593837,839679,1085345,1221348,1349973,1520194,1610104,1672572,1732324,1781139
GCAM 7.0,D3_HP_PriceShock,Taiwan,energy-investment,M$(2010)/yr,7370,5257,18297,21684,24295,18295,23302,17416,15944,18852,15970
GCAM 7.0,D3_HP_PriceShock,Taiwan,energy-service,M$(2010)/yr,122630,134723,156915,183234,178632,159991,158636,151178,135914,125417,118993
GCAM 7.0,D3_HP_PriceShock,USA,energy-investment,M$(2010)/yr,211873,212933,408462,628149,606840,709135,716888,697499,854076,848028,769940
GCAM 7.0,D3_HP_PriceShock,USA,energy-service,M$(2010)/yr,3757684,4046026,4692533,5249678,5505556,5864456,6353766,6602763,6814853,6969645,7065703
GCAM 7.0,D3_HP_PriceShock,World,energy-service,M$(2010)/yr,18089141,22173897,26760442,31324365,33820922,36861932,40819734,43206979,45028391,46743674,48146639
GCAM 7.0,D3_HP_PriceShock,World,energy-investment,M$(2010)/yr,982273,1163111,3793159,5481731,6737838,6788293,7532519,7241339,7793585,8106096,8010591
GCAM 7.0,D3_NG_PriceShock,Africa_Eastern,energy-investment,M$(2010)/yr,2611,3933,27512,53735,75421,106268,135980,149841,167276,202521,232434
GCAM 7.0,D3_NG_PriceShock,Africa_Eastern,energy-service,M$(2010)/yr,55051,83599,134032,200687,302046,446905,624665,808337,1002681,1221182,1465330
GCAM 7.0,D3_NG_PriceShock,Africa_Northern,energy-investment,M$(2010)/yr,11616,18660,88507,171021,200106,236477,274864,259428,302976,333224,355132
GCAM 7.0,D3_NG_PriceShock,Africa_Northern,energy-service,M$(2010)/yr,207650,316672,428228,648545,884597,1101016,1313540,1465542,1600782,1750711,1916776
GCAM 7.0,D3_NG_PriceShock,Africa_Southern,energy-investment,M$(2010)/yr,4184,5989,28851,55321,87518,111127,144464,161616,180195,197321,205786
GCAM 7.0,D3_NG_PriceShock,Africa_Southern,energy-service,M$(2010)/yr,47056,70462,105096,178523,304431,462333,623590,778856,948637,1107915,1254005
GCAM 7.0,D3_NG_PriceShock,Africa_Western,energy-investment,M$(2010)/yr,13074,41169,64104,99360,147782,206985,290747,326904,369483,445878,527632
GCAM 7.0,D3_NG_PriceShock,Africa_Western,energy-service,M$(2010)/yr,126669,166036,259974,370027,544043,774159,1042184,1334098,1658761,2045750,2484242
GCAM 7.0,D3_NG_PriceShock,Argentina,energy-investment,M$(2010)/yr,15148,7167,78481,53059,94059,99381,94729,92474,95933,91627,87790
GCAM 7.0,D3_NG_PriceShock,Argentina,energy-service,M$(2010)/yr,136205,179463,251970,313085,339892,377061,425112,445559,455783,461683,460818
GCAM 7.0,D3_NG_PriceShock,Australia_NZ,energy-investment,M$(2010)/yr,15472,20392,84326,172536,284406,237344,307308,296315,319608,326138,310214
GCAM 7.0,D3_NG_PriceShock,Australia_NZ,energy-service,M$(2010)/yr,548907,626925,725044,819830,913510,999288,1092213,1178517,1247612,1298370,1320294
GCAM 7.0,D3_NG_PriceShock,Brazil,energy-investment,M$(2010)/yr,21382,24390,93576,156024,252883,249563,293012,262332,287188,275273,266901
GCAM 7.0,D3_NG_PriceShock,Brazil,energy-service,M$(2010)/yr,496663,680256,796380,995746,1160505,1337079,1493970,1564366,1593870,1605069,1598400
GCAM 7.0,D3_NG_PriceShock,Canada,energy-investment,M$(2010)/yr,37847,41147,94544,145980,156561,174024,215719,206177,220836,225956,234573
GCAM 7.0,D3_NG_PriceShock,Canada,energy-service,M$(2010)/yr,585342,684348,772368,858836,942663,1031781,1134673,1197567,1244721,1272801,1280670
GCAM 7.0,D3_NG_PriceShock,Central America and Caribbean,energy-investment,M$(2010)/yr,5430,4363,16549,41110,39863,49490,57753,59240,66665,69629,70165
GCAM 7.0,D3_NG_PriceShock,Central America and Caribbean,energy-service,M$(2010)/yr,115148,143895,170427,232815,297465,367372,455616,510085,555865,600021,634932
GCAM 7.0,D3_NG_PriceShock,Central Asia,energy-investment,M$(2010)/yr,2378,9021,43244,59875,71725,85273,105074,98573,113577,114315,107885
GCAM 7.0,D3_NG_PriceShock,Central Asia,energy-service,M$(2010)/yr,151352,205701,262591,327776,357794,393512,468260,522867,576691,631801,684369
